,x_coordinate,y_coordinate,time
1,97.94007769643439,15.013587426013364,12:25:05.220000
1,97.99056896432202,15.92451091194343,12:25:05.266000
1,98.65982591554855,16.94492700508596,12:25:05.313843
1,99.52265167620848,17.525468523809916,12:25:05.360802
1,100.2778789093339,18.319576049909603,12:25:05.407008
1,100.66220036078283,18.729912596723704,12:25:05.455015
1,100.82714736239267,19.02834005185705,12:25:05.501146
1,101.36860277546788,20.864883074012678,12:25:05.549146
1,101.85032631781976,21.93198544984132,12:25:05.597139
1,102.45500315692846,22.54029568004123,12:25:05.645140
1,102.37850378372033,22.77829600604193,12:25:05.693141
1,102.26064732375359,22.825262109828813,12:25:05.740333
1,102.11459591709044,22.763044676918383,12:25:05.788332
1,102.22856841200947,22.71342534609969,12:25:05.835332
1,102.45608178979923,22.650731621022796,12:25:05.882333
1,102.70053723681393,23.189833291511672,12:25:05.931711
1,102.74817896245683,24.843181236003417,12:25:05.976389
1,102.78527933075584,25.790825817219716,12:25:06.022070
1,102.9480337775874,26.826551679322606,12:25:06.069051
1,103.24060971299501,27.42103701408371,12:25:06.115632
1,103.9249321167058,28.077360877113975,12:25:06.163642
1,105.93273869964595,29.27950966211383,12:25:06.211164
1,107.72232655260493,30.428629052776074,12:25:06.258312
1,108.663604646043,31.00695825143026,12:25:06.305473
1,109.45817534558981,31.531218137001176,12:25:06.353474
1,109.77947528072991,31.77943041944989,12:25:06.399690
1,109.8749997594969,31.867104970653973,12:25:06.447690
1,109.94555679069369,31.859102879194307,12:25:06.494830
1,109.92467002014823,31.74051216875915,12:25:06.542714
1,109.87500329557831,31.6400587582439,12:25:06.590715
1,109.99179756451585,31.503908449045984,12:25:06.638715
1,110.04833078584633,31.90260794283914,12:25:06.686714
1,110.25965643882573,33.10146140072427,12:25:06.732008
1,110.54329474754886,34.66578248008438,12:25:06.779329
1,111.17536218796518,35.8643522598619,12:25:06.826330
1,111.55111601490671,36.51239037251317,12:25:06.872330
1,111.55510752965648,37.61034061851434,12:25:06.919863
1,111.60533298491316,38.83978882190874,12:25:06.967928
1,111.3863446780706,40.16995111124008,12:25:07.013533
1,111.11236532261421,41.165107921265225,12:25:07.059295
1,110.94696730998814,41.739972594773825,12:25:07.108334
1,110.76621979429198,41.99721119942799,12:25:07.153840
1,110.60981153524384,42.080035037936916,12:25:07.200158
1,111.10392487233896,41.999095982214044,12:25:07.247502
1,111.31166675732737,41.725296845255734,12:25:07.293697
1,112.01246183290003,41.59533625539738,12:25:07.340697
1,112.46520927324977,42.62391741512648,12:25:07.387855
1,112.65920590582614,43.226737984163925,12:25:07.434854
1,112.51305123166952,44.88012676953485,12:25:07.482855
1,112.3977983664475,45.76834040631309,12:25:07.530855
1,112.84377063641729,47.748182197931015,12:25:07.578854
1,113.27786257182073,49.71439588682185,12:25:07.626121
1,113.5645793667901,51.515979574652775,12:25:07.674123
1,113.75409902796927,52.438532726266374,12:25:07.722122
1,113.83502112341009,52.818116119935844,12:25:07.768404
1,114.1903617989681,53.38855827190884,12:25:07.814713
1,114.7397365208905,53.71671429499846,12:25:07.861837
1,115.15936394461119,53.86483206137472,12:25:07.909248
1,115.56014886914463,54.02033905214316,12:25:07.957183
1,115.7913363575694,54.022935451769364,12:25:08.002522
1,116.04273497039809,54.06907646693008,12:25:08.049692
1,116.005530447387,54.12662365378569,12:25:08.095692
1,115.8381067415008,55.35712610185623,12:25:08.142871
1,115.80923318031729,57.9827359481722,12:25:08.190872
1,116.03696025526823,60.26151120053873,12:25:08.236689
1,116.13277009939421,61.483750213121056,12:25:08.284584
1,116.05912217644713,63.50957732392227,12:25:08.328730
1,115.83765065468624,65.7813911271673,12:25:08.374452
1,115.3706463437852,68.34114060422363,12:25:08.421421
1,114.54381183304625,70.728169082698,12:25:08.468420
1,113.64159698676438,72.41801197920876,12:25:08.515420
1,113.17313422181188,73.18346830339833,12:25:08.563420
1,112.36169516578505,73.65953984888556,12:25:08.611420
1,112.21501265199402,74.07164496725072,12:25:08.657726
1,112.25882553270668,74.30230662025782,12:25:08.705178
1,112.35800242110771,74.4826334863552,12:25:08.752471
1,112.78414972132671,74.77230311885164,12:25:08.799869
1,113.04301113672018,74.85953243772464,12:25:08.846957
1,113.34235216949556,77.25821361949662,12:25:08.893150
1,113.54124725370016,80.75854619846827,12:25:08.941150
1,113.93764615465192,84.57958899849346,12:25:08.987383
1,113.85130842189717,87.90706654039596,12:25:09.033477
1,113.30026802178959,90.79880385385387,12:25:09.078623
1,112.9827713278493,92.21021191994208,12:25:09.123643
1,112.77185311137914,94.82898656698481,12:25:09.171002
1,112.53036499854306,97.29040757478616,12:25:09.217920
1,113.27267899572863,98.67185962534589,12:25:09.264058
1,112.84023063645859,99.65218374141756,12:25:09.310261
1,112.3233689000176,100.26210326786604,12:25:09.357751
1,111.96082694509793,100.44100071042894,12:25:09.405682
1,111.81277986526456,100.60707436712175,12:25:09.454834
1,111.6246754148303,100.78221582593171,12:25:09.500943
1,111.14994393833551,101.63858947351929,12:25:09.548944
1,110.68077651616068,104.8087511663679,12:25:09.596943
1,110.63421302151148,108.6419992484617,12:25:09.644944
1,110.7301059987987,110.67582020282477,12:25:09.691944
1,110.7729427687769,113.40034352560848,12:25:09.738943
1,110.1502965957014,116.91952590091098,12:25:09.786943
1,109.62748939627497,120.10035438449347,12:25:09.833944
1,108.88553118555183,123.75766604950711,12:25:09.881060
1,108.04691005447755,126.73154572670047,12:25:09.928133
1,107.69035055450968,128.1253207759671,12:25:09.976133
1,107.42854559424411,128.63903149583282,12:25:10.022309
1,106.24951797524672,129.69104333570195,12:25:10.068353
1,105.80551073118498,130.52043923272421,12:25:10.115353
1,105.64018347723812,131.30874083355965,12:25:10.162354
1,105.76353739434745,132.69846607113323,12:25:10.209905
1,105.82449756313703,133.4079448446672,12:25:10.257914
1,106.05259013905459,137.28180434085368,12:25:10.304443
1,106.65617241180817,142.53522509053863,12:25:10.351055
1,106.99513672716117,147.17238634305986,12:25:10.399056
1,107.27696775038031,151.79422144815297,12:25:10.446456
1,107.43285613768968,156.9354617075389,12:25:10.494114
1,107.49521445728476,159.56131260592753,12:25:10.541024
1,108.01106990908823,162.88945113929628,12:25:10.587024
1,109.05774901624528,166.01853274396993,12:25:10.635024
1,109.06299212686314,168.35886032377266,12:25:10.681025
1,109.1273933046715,169.8307213923128,12:25:10.729025
1,109.39865092298108,171.10445320394177,12:25:10.777023
1,109.57907501467386,171.5385608911375,12:25:10.825023
1,109.96985046166773,171.37499759867322,12:25:10.872248
1,110.77450296843297,171.5190718313127,12:25:10.919304
1,111.90362118268096,172.97220264223228,12:25:10.967303
1,113.10292271482818,177.70878866023335,12:25:11.013555
1,113.89294454309885,183.26280382113353,12:25:11.060768
1,114.27388378712199,186.22141230156254,12:25:11.108758
1,113.69602571798815,189.7188715057196,12:25:11.155768
1,113.41619268810666,194.54761580369987,12:25:11.202137
1,113.80136673473073,198.94909946917878,12:25:11.250136
1,113.69730870425464,202.19661653377653,12:25:11.297799
